step_time,reward,total_stopped,total_wait_time
725.0,1.9100000000000001,29,2568.0
730.0,6.259999999999998,23,1942.0
735.0,5.360000000000001,23,1406.0
740.0,0.3800000000000008,14,1368.0
745.0,-0.8900000000000006,22,1457.0
750.0,1.0099999999999998,22,1356.0
755.0,3.2700000000000014,20,1029.0
760.0,0.06999999999999851,14,1022.0
765.0,0.7200000000000006,14,950.0
770.0,-0.9299999999999997,23,1043.0
775.0,-1.4000000000000004,30,1183.0
780.0,-0.8399999999999999,29,1267.0
785.0,-0.25,24,1292.0
790.0,-0.9900000000000002,26,1391.0
795.0,-1.5099999999999998,32,1542.0
800.0,0.4800000000000004,29,1494.0
805.0,2.17,21,1277.0
810.0,2.5999999999999996,21,1017.0
815.0,0.9800000000000004,21,919.0
820.0,-0.5200000000000014,20,971.0
825.0,-0.9599999999999991,26,1067.0
830.0,-0.27999999999999936,24,1095.0
835.0,0.9100000000000001,17,1004.0
840.0,0.15999999999999837,14,988.0
845.0,0.5800000000000001,16,930.0
850.0,-0.29999999999999893,21,960.0
855.0,2.8099999999999996,16,679.0
860.0,2.4299999999999997,20,436.0
865.0,-0.5299999999999994,17,489.0
870.0,-0.6200000000000001,20,551.0
875.0,-1.0099999999999998,21,652.0
880.0,-1.2000000000000002,26,772.0
885.0,-0.6100000000000003,21,833.0
890.0,-0.3100000000000005,21,864.0
895.0,-1.0299999999999994,23,967.0
900.0,-1.1999999999999993,24,1087.0
905.0,-1.1300000000000008,24,1200.0
910.0,-1.25,25,1325.0
915.0,-1.2899999999999991,27,1454.0
920.0,0.6999999999999993,25,1384.0
925.0,2.789999999999999,17,1105.0
930.0,1.3600000000000012,9,969.0
935.0,-0.2400000000000002,11,993.0
940.0,0.4499999999999993,17,948.0
945.0,-1.0399999999999991,23,1052.0
950.0,0.6199999999999992,25,990.0
955.0,2.0900000000000007,20,781.0
960.0,-0.14000000000000057,10,795.0
965.0,-0.019999999999999574,14,797.0
970.0,-0.5499999999999998,21,852.0
975.0,-1.1799999999999997,25,970.0
980.0,-0.7800000000000011,26,1048.0
985.0,-0.8200000000000003,27,1130.0
990.0,-1.459999999999999,30,1276.0
995.0,-1.5099999999999998,31,1427.0
1000.0,0.5800000000000001,28,1369.0
1005.0,2.67,20,1102.0
1010.0,-0.16000000000000014,16,1118.0
1015.0,-0.8200000000000003,17,1200.0
1020.0,-1.0700000000000003,24,1307.0
1025.0,-0.4299999999999997,30,1350.0
1030.0,0.05000000000000071,30,1345.0
1035.0,0.75,26,1270.0
1040.0,2.26,22,1044.0
1045.0,-0.41000000000000014,15,1085.0
1050.0,-0.5199999999999996,20,1137.0
1055.0,-0.25,18,1162.0
1060.0,-0.1800000000000015,24,1180.0
1065.0,-1.2599999999999998,28,1306.0
1070.0,-1.5299999999999994,34,1459.0
1075.0,-1.6999999999999993,34,1629.0
1080.0,-1.7699999999999996,36,1806.0
1085.0,-1.8900000000000006,39,1995.0
1090.0,-1.2300000000000004,34,2118.0
1095.0,-0.8399999999999999,35,2202.0
1100.0,0.9699999999999989,35,2105.0
1105.0,4.100000000000001,28,1695.0
1110.0,0.21999999999999886,21,1673.0
1115.0,-0.9299999999999997,18,1766.0
1120.0,-1.0599999999999987,24,1872.0
1125.0,-0.7300000000000004,26,1945.0
1130.0,-1.0300000000000011,36,2048.0
1135.0,0.6500000000000021,32,1983.0
1140.0,2.8999999999999986,27,1693.0
1145.0,4.359999999999999,18,1257.0
1150.0,0.4299999999999997,8,1214.0
1155.0,1.6900000000000013,7,1045.0
1160.0,-0.5700000000000003,15,1102.0
1165.0,-1.1500000000000004,29,1217.0
1170.0,-1.58,33,1375.0
1175.0,-1.6799999999999997,34,1543.0
1180.0,0.41999999999999993,31,1501.0
1185.0,2.5299999999999994,22,1248.0
1190.0,-0.9599999999999991,20,1344.0
1195.0,-0.9800000000000004,20,1442.0
1200.0,0.08999999999999986,23,1433.0
1205.0,0.6899999999999995,24,1364.0
1210.0,1.0700000000000003,26,1257.0
1215.0,2.26,23,1031.0
1220.0,0.370000000000001,14,994.0
1225.0,0.29999999999999893,12,964.0
1230.0,-0.3099999999999987,19,995.0
1235.0,-0.6600000000000001,26,1061.0
1240.0,-1.1000000000000014,30,1171.0
1245.0,-1.0999999999999996,31,1281.0
1250.0,0.6699999999999999,25,1214.0
1255.0,2.4700000000000006,19,967.0
1260.0,0.5299999999999994,12,914.0
1265.0,-0.6699999999999999,15,981.0
1270.0,0.8300000000000001,13,898.0
1275.0,1.9400000000000004,16,704.0
1280.0,-0.7800000000000002,16,782.0
1285.0,-0.9499999999999993,23,877.0
1290.0,-1.290000000000001,28,1006.0
1295.0,-0.11999999999999922,31,1018.0
1300.0,0.9599999999999991,24,922.0
1305.0,0.25,17,897.0
1310.0,0.16000000000000014,25,881.0
1315.0,-0.27999999999999936,28,909.0
1320.0,0.6500000000000004,25,844.0
1325.0,-0.4299999999999997,19,887.0
1330.0,-1.0300000000000011,26,990.0
1335.0,-0.9000000000000004,29,1080.0
1340.0,-1.6499999999999986,35,1245.0
1345.0,0.11999999999999922,32,1233.0
1350.0,2.24,27,1009.0
1355.0,-1.3000000000000007,28,1139.0
1360.0,-1.629999999999999,35,1302.0
